Ring no,Group Name,Species Name,Gender,Cage,Aviary Name,Proven,Actual Weight
CKRF 956,Conure,Sun Conure,Male,M10,Macaw Aviary,Semi Adult,
CKRF 931,Conure,Sun Conure,Female,M11,Macaw Aviary,Semi Adult,
CKRF 908,Conure,Sun Conure,Male,M11,Macaw Aviary,Semi Adult,
CKRF 930,Conure,Sun Conure,Male,M11,Macaw Aviary,Semi Adult,
CKRF 038,Conure,Sun Conure,Male,M11,Macaw Aviary,Semi Adult,
CKRF 935,Conure,Sun Conure,Male,M11,Macaw Aviary,Semi Adult,
CKRF 934,Conure,Janday Conure,Male,M11,Macaw Aviary,Semi Adult,
CKRF 987,Conure,Sun Conure,Female,M11,Macaw Aviary,Semi Adult,
CKRF 926,Conure,Sun Conure,Male,M11,Macaw Aviary,Semi Adult,
CKRF 688,Conure,Sun Conure,Male,M11,Macaw Aviary,Semi Adult,
CKRF 972,Conure,Sun Conure,Male,M11,Macaw Aviary,Semi Adult,
GB 225,Monk,Monk(Blue),Male,M12,Macaw Aviary,Semi Adult,
RS 13 P 89,Monk,Monk(Blue),Female,M12,Macaw Aviary,Semi Adult,
147794,Monk,Monk(Lutino),Male,M12,Macaw Aviary,Semi Adult,
CZ 1425,Monk,Monk(Lutino),Female,M12,Macaw Aviary,Semi Adult,
CKR C 289,Monk,Monk(Lutino),Female,M12,Macaw Aviary,Semi Adult,
LP 01 E 96013,Monk,Monk(Blue),Male,M12,Macaw Aviary,Semi Adult,
CKR C 250,Monk,Monk(Blue),Female,M12,Macaw Aviary,Semi Adult,
VV 03 E 85,Monk,Monk(Blue),Male,M12,Macaw Aviary,Semi Adult,
GB 227,Monk,Monk(Blue),Male,M12,Macaw Aviary,Semi Adult,
EK 02 06 E 130 10,Monk,Monk(Blue),Male,M12,Macaw Aviary,Semi Adult,
CKR B 28,Monk,Monk(Dilute Blue),Male,M12,Macaw Aviary,Semi Adult,
SBW QUP 002,Monk,Monk(Blue Cinnamon) ,Female,M12,Macaw Aviary,Semi Adult,
JV 11 F 147,Monk,Monk(Green),Female,M12,Macaw Aviary,Semi Adult,
AS 12 E 407,Monk,Monk(Green),Male,M12,Macaw Aviary,Semi Adult,
AS 12 E 48314,Monk,Monk(Green),Male,M12,Macaw Aviary,Semi Adult,
AS 12 E 48814,Monk,Monk(Green),Female,M12,Macaw Aviary,Semi Adult,
AS 12 E 48714,Monk,Monk(Green),Female,M12,Macaw Aviary,Semi Adult,
JV 11 F 116,Monk,Monk(Green),Male,M12,Macaw Aviary,Semi Adult,
CKR C 260,Monk,Monk(Blue),Female,M12,Macaw Aviary,Semi Adult,
CKR A 392/CKR A 394,Monk,Monk(Blue),Male,M12,Macaw Aviary,Semi Adult,
CKRE 2070,Conure,Sun Conure,,M13,Macaw Aviary,Semi Adult,
CKRF 004,Conure,Sun Conure,Male,M13,Macaw Aviary,Semi Adult,
CKRF 006,Conure,Sun Conure,Female,M13,Macaw Aviary,Semi Adult,
CKRF 983,Conure,Sun Conure,Female,M13,Macaw Aviary,Semi Adult,
CKRF 036,Conure,Janday Conure,Male,M13,Macaw Aviary,Semi Adult,
CKRF 968,Conure,Janday Conure,Male,M13,Macaw Aviary,Semi Adult,
CKRF 907,Conure,Janday Conure,Female,M13,Macaw Aviary,Semi Adult,
CKRF 001,Conure,Sun Conure,Female,M13,Macaw Aviary,Semi Adult,
CKRE 1486,Conure,Sun and Jandaya,Female,M13,Macaw Aviary,Semi Adult,
CKRF 083,Conure,Sun Conure,Male,M13,Macaw Aviary,Semi Adult,
CKRF 689,Conure,Sun Conure,Male,M16,Macaw Aviary,Semi Adult,
CKRF 139,Conure,Sun and Jandaya,Female,M16,Macaw Aviary,Semi Adult,
CKRF 696,Conure,Janday Conure,Female,M16,Macaw Aviary,Semi Adult,
CKRF 003,Conure,Sun Conure,Male,M16,Macaw Aviary,Semi Adult,
CKRF 021,Conure,Sun Conure,Male,M16,Macaw Aviary,Semi Adult,
CKRF 082,Conure,Sun Conure,Female,M16,Macaw Aviary,Semi Adult,
CKRF 901,Conure,Sun Conure,Male,M16,Macaw Aviary,Semi Adult,
CKRF 953,Conure,Sun Conure,Female,M16,Macaw Aviary,Semi Adult,
CKRF 007,Conure,Sun Conure,Female,M16,Macaw Aviary,Semi Adult,
CKRF 697,Conure,Sun Conure,Male,M16,Macaw Aviary,Semi Adult,
CKRF 087,Conure,Sun Conure,Male,M17,Macaw Aviary,Semi Adult,
CKRF 685,Conure,Sun Conure,Female,M17,Macaw Aviary,Semi Adult,
CKRF 802,Conure,Sun Conure,Female,M17,Macaw Aviary,Semi Adult,
CKRF 804,Conure,Sun Conure,Male,M17,Macaw Aviary,Semi Adult,
CKRF 824,Conure,Sun Conure,Female,M17,Macaw Aviary,Semi Adult,
CKRF 849,Conure,Sun Conure,Male,M17,Macaw Aviary,Semi Adult,
CKRF 848,Conure,Sun Conure,Male,M17,Macaw Aviary,Semi Adult,
CKRF 885,Conure,Sun Conure,Male,M17,Macaw Aviary,Semi Adult,
CKRF 807,Conure,Sun Conure,Female,M17,Macaw Aviary,Semi Adult,
CKRF 805,Conure,Sun Conure,Male,M17,Macaw Aviary,Semi Adult,
CKRF 714,Conure,Sun Conure,Female,M18,Macaw Aviary,Semi Adult,
CKRF 816,Conure,Sun Conure,Female,M18,Macaw Aviary,Semi Adult,
CKRF 896,Conure,Sun Conure,Male,M18,Macaw Aviary,Semi Adult,
CKRF 171,Conure,Sun Conure,Female,M18,Macaw Aviary,Semi Adult,
CKRF 147,Conure,Sun Conure,Male,M18,Macaw Aviary,Semi Adult,
CKRF 188,Conure,Sun Conure,Male,M18,Macaw Aviary,Semi Adult,
CKRF 850,Conure,Sun Conure,Male,M18,Macaw Aviary,Semi Adult,
CKRF 822,Conure,Sun Conure,Female,M18,Macaw Aviary,Semi Adult,
CKRF 159,Conure,Sun Conure,Male,M18,Macaw Aviary,Semi Adult,
CKRF 897,Conure,Sun Conure,Female,M18,Macaw Aviary,Semi Adult,
CKRF 715,Conure,Sun Conure,Female,M19,Macaw Aviary,Semi Adult,
CKRF 890,Conure,Sun Conure,Female,M19,Macaw Aviary,Semi Adult,
CKRF 803,Conure,Sun Conure,Male,M19,Macaw Aviary,Semi Adult,
CKRF 641,Conure,Sun Conure,Female,M19,Macaw Aviary,Semi Adult,
CKRF 640,Conure,Sun Conure,Female,M19,Macaw Aviary,Semi Adult,
CKRF 684,Conure,Sun Conure,Female,M19,Macaw Aviary,Semi Adult,
CKRE 1875,Conure,Sun Conure,Female,M19,Macaw Aviary,Semi Adult,
CKRE 1878,Conure,Sun Conure,Male,M19,Macaw Aviary,Semi Adult,
CKRE 1877,Conure,Sun Conure,Male,M19,Macaw Aviary,Semi Adult,
CKRF 674,Conure,Sun Conure,Male,M19,Macaw Aviary,Semi Adult,
CKRF 798,Conure,Sun Conure,Female,M21,Macaw Aviary,Semi Adult,
CKRF 708,Conure,Sun Conure,Female,M21,Macaw Aviary,Semi Adult,
CKRF 702,Conure,Sun Conure,Female,M21,Macaw Aviary,Semi Adult,
CKRF 618,Conure,Janday Conure,Female,M21,Macaw Aviary,Semi Adult,
CKRF 979,Conure,Sun Conure,Male,M21,Macaw Aviary,Semi Adult,
CKRF 911,Conure,Sun Conure,Male,M21,Macaw Aviary,Semi Adult,
CKRF 860,Conure,Sun Conure,Female,M21,Macaw Aviary,Semi Adult,
CKRF 713,Conure,Sun Conure,Female,M21,Macaw Aviary,Semi Adult,
CKRF 856,Conure,Sun Conure,Male,M21,Macaw Aviary,Semi Adult,
CKRF 746,Conure,Sun Conure,Male,M21,Macaw Aviary,Semi Adult,
GB 3172,Conure,Sun Conure,Female,M23,Macaw Aviary,Semi Adult,
CKR D 346,Conure,Sun Conure,Female,M23,Macaw Aviary,Semi Adult,
CKR D 151,Conure,Sun Conure,Female,M23,Macaw Aviary,Semi Adult,
GB 2866,Conure,Sun Conure,Male,M23,Macaw Aviary,Semi Adult,
CKR D 338,Conure,Sun Conure,Female,M23,Macaw Aviary,Semi Adult,
CKR D 258,Conure,Sun Conure,Male,M23,Macaw Aviary,Semi Adult,
CKR D 1383,Conure,Sun Conure,Male,M23,Macaw Aviary,Semi Adult,
CKRF 922,Conure,Sun Conure,Male,M24,Macaw Aviary,Semi Adult,
CKRF 709,Conure,Sun Conure,Female,M24,Macaw Aviary,Semi Adult,
CKRF 923,Conure,Sun Conure,Female,M24,Macaw Aviary,Semi Adult,
CKRF 899,Conure,Sun Conure,Female,M24,Macaw Aviary,Semi Adult,
CKRF 057,Conure,Sun Conure,Male,M24,Macaw Aviary,Semi Adult,
CKRF 056,Conure,Sun Conure,Male,M24,Macaw Aviary,Semi Adult,
CKRF 058,Conure,Sun Conure,Male,M24,Macaw Aviary,Semi Adult,
CKRF 676,Conure,Sun Conure,Female,M24,Macaw Aviary,Semi Adult,
CKRE 1876,Conure,Sun Conure,Male,M24,Macaw Aviary,Semi Adult,
CKRF 938,Conure,Sun Conure,Female,M24,Macaw Aviary,Semi Adult,
MONI .140,Conure,Crimson Bellied conure,,M25,Macaw Aviary,Semi Adult,
No Ring,Conure,Crimson Bellied conure,,M25,Macaw Aviary,Semi Adult,
GB 2511,Conure,Crimson Bellied conure,Male,M25,Macaw Aviary,Semi Adult,
GB 3054,Conure,Sun Conure,Male,M25,Macaw Aviary,Proven,
GB 3073,Conure,Sun Conure,Male,M25,Macaw Aviary,Semi Adult,
CKRF 891,Conure,Sun Conure,Male,M26,Macaw Aviary,Semi Adult,
CKRF 642,Conure,Sun Conure,Male,M26,Macaw Aviary,Semi Adult,
CKRF 055,Conure,Sun Conure,Male,M26,Macaw Aviary,Semi Adult,
CKRF 054,Conure,Sun Conure,Female,M26,Macaw Aviary,Semi Adult,
CKRF 951,Conure,Sun Conure,Female,M26,Macaw Aviary,Semi Adult,
CKRF 687,Conure,Sun Conure,Female,M26,Macaw Aviary,Semi Adult,
CKRF 683,Conure,Sun Conure,Male,M26,Macaw Aviary,Semi Adult,
CKRF 059,Conure,Sun Conure,Male,M26,Macaw Aviary,Semi Adult,
CKRF 061,Conure,Sun Conure,Female,M26,Macaw Aviary,Semi Adult,
CKRF 677,Conure,Sun Conure,Female,M26,Macaw Aviary,Semi Adult,
CKRF 678,Conure,Sun Conure,Male,M26,Macaw Aviary,Semi Adult,
CKRE 1531,Conure,Sun Conure,Male,Treatment,Macaw Aviary,Semi Adult,
CKRE 1318,Conure,Sun Conure,Female,Treatment,Macaw Aviary,Semi Adult,
GB ,Conure,Sun Conure,Female,Treatment,Macaw Aviary,Semi Adult,
CKRE 2166,Lory,Swainson Lory,Male,Treatment,Macaw Aviary,Semi Adult,
CKRF 477,Lory,Swainson Lory,Male,Treatment,Macaw Aviary,Semi Adult,
CKRE 1576,Lory,Swainson Lory,Female,Treatment,Macaw Aviary,Semi Adult,
1000,Lorykeet,Olive red collar lorikeet,Male,Treatment,Macaw Aviary,Semi Adult,
CKRF 1220,Love Birds,Violet Masked,Male,S3,School,Proven,
CKRF 1218,Love Birds,Violet Masked,Female,S3,School,Proven,
CKRF 1225,Love Birds,Lutino Peach,Male,S3,School,Proven,
CKRC 007,Love Birds,Lotion Offline,Female,S3,School,Proven,
CKRF 1217,Love Birds,Violet Masked,Male,S4,School,Proven,
CKRA 341,Love Birds,Violet Masked,Female,S4,School,Proven,
CKRB 022,Love Birds,Violet Masked,Female,S5,School,Proven,
CKRF 1212,Love Birds,Violet Masked,Male,S5,School,Proven,
CKRF 1213,Love Birds,Violet Masked,Female,S6,School,Proven,
CKRC 024,Love Birds,Violet Masked,Male,S6,School,Proven,
CKRF 1227,Love Birds,Violet Masked,Male,S7,School,Semi Adult,
CKRA 307,Love Birds,Lutino Peach,Male,S7,School,Proven,
CKRA 316,Love Birds,Lutino Peach,Female,S7,School,Proven,
CKRC 008,Love Birds,Violet Masked,Female,S8,School,Proven,
CKRF 1180,Love Birds,Violet Masked,Male,S8,School,Proven,
CKRC 019,Love Birds,Lutino Peach,Female,S8,School,Proven,
CKRA 311,Love Birds,Lutino Peach,Male,S8,School,Proven,
CKRF 1211,Love Birds,Violet Masked,Male,S9,School,Proven,
CKRC 013,Love Birds,Violet Masked,Female,S9,School,Proven,
CKRC 021,Love Birds,Lutino Peach,Male,S9,School,Proven,
CKRA 342,Love Birds,Lutino Peach,Female,S9,School,Proven,
CKRF 1214,Love Birds,Violet Masked,Male,S10,School,Proven,
CKRF 1226,Love Birds,Violet Masked,Female,S10,School,Proven,
CKRA 305,Love Birds,Lutino Peach,Male,S10,School,Proven,
CKRC 014,Love Birds,Lutino Peach,Female,S10,School,Proven,
CKRC 006,Love Birds,Violet Masked,Female,S11,School,Proven,
CKRF 1224,Love Birds,Violet Masked,Male,S11,School,Proven,
CKRA 336,Love Birds,Lutino Peach,Female,S11,School,Proven,
CKRA 333,Love Birds,Lutino Peach,Male,S11,School,Proven,
CKRF 1221,Love Birds,Violet Masked,Female,S12,School,Proven,
CKRC 017,Love Birds,Violet Masked,Male,S12,School,Proven,
CKRC 022,Love Birds,Lutino Peach,Female,S12,School,Proven,
CKRC 010,Love Birds,Lutino Peach,Male,S12,School,Proven,
CKRF 1216,Love Birds,Violet Masked,Male,S13,School,Proven,
CKRC 002,Love Birds,Violet Masked,Female,S13,School,Proven,
CKRC018,Love Birds,Lutino Peach,Male,S13,School,Proven,
CKRA 310,Love Birds,Lutino Peach,Female,S13,School,Proven,
CKRA 313,Love Birds,Lutino Peach,Male,S14,School,Proven,
CKRD 1890,Love Birds,Lutino Peach,Female,S14,School,Proven,
CKRD 023,Love Birds,Violet Masked,Male,S14,School,Semi Adult,
CKRF 1222,Love Birds,Violet Masked,Female,S15,School,Proven,
CKRC 011,Love Birds,Violet Masked,Male,S15,School,Proven,
CKRC 092,Love Birds,Lutino Peach,Female,S15,School,Proven,
CKRC 016,Love Birds,Lutino Peach,Male,S15,School,Proven,
CKRC 001,Love Birds,Violet Masked,Male,S16,School,Proven,
CKRB 017,Love Birds,Violet Masked,Female,S16,School,Proven,
CKRA 092,Love Birds,Lutino Peach,,S19,School,Proven,
CKRC 005,Love Birds,Lutino Peach,Male,S19,School,Proven,
CKRC 025,Love Birds,Lotion Offline,Female,S20,School,Semi Adult,
CKRA 315,Love Birds,Lotion Offline,Female,S20,School,Semi Adult,
CKRB 023,Love Birds,Violet Masked,Male,S19,School,Proven,
CKRF 1219,Love Birds,Violet Masked,Female,S19,School,Proven,
CKRA 012,Love Birds,Violet Masked,NA,S18,School,Semi Adult,
CKRA 309,Love Birds,Violet Masked,Female,S17,School,Semi Adult,
CKRC 004,Love Birds,Violet Masked,Female,S17,School,Semi Adult,
CKRC 003,Love Birds,Violet Masked,,,School,Semi Adult,
CKRC 020,Love Birds,Violet Masked,,,School,Semi Adult,
CKRC 015,Love Birds,Violet Masked,NA,S21,School,Semi Adult,
ACE IND 011,Love Birds,Lutino Peach,,Travel Cage 1,School,Semi Adult,
ACE IND 012,Love Birds,Lutino Peach,,Travel Cage 2,School,Semi Adult,
ACE IND 008,Love Birds,Lutino Peach,,Travel Cage 2,School,Semi Adult,
ACE IND 002,Love Birds,Lutino Peach,,Travel Cage 2,School,Semi Adult,
ACE IND 022,Love Birds,Violet Masked,,Travel Cage 3,School,Semi Adult,
ACE IND 006,Love Birds,Lutino Peach,,Travel Cage 4,School,Semi Adult,
ACE IND 014,Love Birds,Lutino Peach,,Travel Cage 4,School,Semi Adult,
ACE IND 016,Love Birds,Lutino Peach,,Travel Cage 4,School,Semi Adult,
ACE IND 020,Love Birds,Lutino Peach,,Travel Cage 4,School,Semi Adult,
ACE IND 001,Love Birds,Lutino Peach,,Travel Cage 5,School,Semi Adult,
GF 0 487,Parrot,Timney Grey Parrot,,A01,Aruvi,Proven,
GF 0 485,Parrot,Timney Grey Parrot,,A01,Aruvi,Proven,
CKR. 13,Parrot,Timney Grey Parrot,Female,A02,Aruvi,Proven,
13,Parrot,Timney Grey Parrot,Male,A02,Aruvi,Proven,
SV 0019,Parrot,Gray parrots,Male,A03,Aruvi,Proven,
VPW 287,Parrot,Gray parrots,Female,A03,Aruvi,Proven,
SG 279,Parrot,Gray parrots,Female,A04,Aruvi,Non proven,
SG 270,Parrot,Gray parrots,Male,A04,Aruvi,Non proven,
SG263,Parrot,Gray parrots,Female,A05,Aruvi,proven,
SG 273,Parrot,Gray parrots,Male,A05,Aruvi,proven,
SG 282,Parrot,Gray parrots,Female,A06,Aruvi,proven,
SG 382,Parrot,Gray parrots,Male,A06,Aruvi,proven,
SG 255,Parrot,Gray parrots,Male,A07,Aruvi,Non proven,
SG 288,Parrot,Gray parrots,Female,A07,Aruvi,Non proven,
VPW220,Parrot,Gray parrots,Female,A08,Aruvi,proven,
SG 384,Parrot,Gray parrots,Male,A08,Aruvi,proven,
SV 0010,Parrot,Gray parrots,Female,A09,Aruvi,Proven,
CKR 0001C,Parrot,Gray parrots,Male,A09,Aruvi,Proven,
VPW 274,Parrot,Gray parrots,Female,A10,Aruvi,Proven,
VPW 288,Parrot,Gray parrots,Male,A10,Aruvi,Proven,
CKR 0038,Parrot,Gray parrots,Female,A11,Aruvi,Proven,
JFS 46,Parrot,Gray parrots,Male,A11,Aruvi,Proven,
CKR 0011,Parrot,Gray parrots,Male,A12,Aruvi,Proven,
VPW 293,Parrot,Gray parrots,Female,A12,Aruvi,Proven,
JOC 8512,Cockatoo,Galah Cockatoo,Female,A17,Aruvi,Proven,
CKR 0042,Cockatoo,Major Mitchell's Cockatoo,Male,A17,Aruvi,Proven,
253T30906004,Cockatoo,Galah Cockatoo,Male,A18,Aruvi,Proven,
CR06K11,Cockatoo,Galah Cockatoo,Female,A18,Aruvi,Proven,
AG1023,Amazon,Cuban Amazon,Female,A19,Aruvi,Proven,
BNA AZ 403436901195D,Amazon,Cuban Amazon,Male,A19,Aruvi,Proven,
14AV,Amazon,Red Lored Amazon,Female,A20,Aruvi,Non proven,
16RBE33,Amazon,Red Lored Amazon,Male,A20,Aruvi,Non proven,
GFCL298,Amazon,Double Yellow Headed Amazon,,A21,Aruvi,Proven,
GFCL291,Amazon,Double Yellow Headed Amazon,,A21,Aruvi,Proven,
036B1,Amazon,Red Lored Amazon,Male,A22,Aruvi,Non proven,
170PV12,Amazon,Red Lored Amazon,Female,A22,Aruvi,Non proven,
10WA15,Amazon,Blue Fronted Amazon,Male,A23,Aruvi,Non proven,
LDFC 853/016,Amazon,Blue Fronted Amazon,Female,A23,Aruvi,Non proven,
Pavw199,Amazon,Blue fronted amazon,female,A24,Aruvi,Proven,
10WA17,Amazon,Blue fronted amazon,Male,A24,Aruvi,Proven,
GSH 03,Parrot,Jardin,Female,A25,Aruvi,Proven,
101,Parrot,Jardin,Male,A25,Aruvi,Proven,
Gfc069,Cockatoo,Triton Cockatoo,,A01,Garden,Adult,
LHF 331,Conure,Golden Conure,Female,A03,Garden,Proven,
YUV 295,Lorikeet,Green Napped Lorikeet,Male,A06,Garden,Proven,
11-124,Lorikeet,Red Collared Lorikeet,Male,B01,Garden,Proven,
CKR B 205,Lorikeet,Olive swainson lorikeet,Female,B02,Garden,Proven,
CKRE 1811,Conure,Sun Conure,,B18,Garden,Semi Adult,
CKRF 102,Conure,Sun Conure,,B18,Garden,Semi Adult,
CKRF 142,Conure,Sun Conure,,B18,Garden,Semi Adult,
CKRE 1645,Conure,Sun Conure,,B18,Garden,Semi Adult,
CKRF 117,Conure,Sun Conure,,B19,Garden,Semi Adult,
CKRE 1572,Conure,Sun Conure,,B19,Garden,Semi Adult,
CKRF 101,Conure,Sun Conure,,B19,Garden,Semi Adult,
CKRF 134,Conure,Sun Conure,,B19,Garden,Semi Adult,
CKRE 1286,Conure,Sun Conure,,B20,Garden,Semi Adult,
CKRF 156,Conure,Sun Conure,,B20,Garden,Semi Adult,
CKRF 817,Conure,Sun Conure,,B20,Garden,Semi Adult,
CKRF 176,Conure,Sun Conure,,B20,Garden,Semi Adult,
CKRF 141,Conure,Sun Conure,,B21,Garden,Semi Adult,
CKRE 1571,Conure,Sun Conure,,B21,Garden,Semi Adult,
CKRE 1342,Conure,Sun Conure,,B21,Garden,Semi Adult,
CKRE 1330,Conure,Sun Conure,,B21,Garden,Semi Adult,
CKRF386,Lorikeet,RED COLLER LORIKEET,,C03,Garden,Semi Adult,
CKRE1224,Lorikeet,RED COLLER LORIKEET,,C03,Garden,Semi Adult,
CKRD059,Lorikeet,RED COLLER LORIKEET,,C04,Garden,Semi Adult,
CKRD674,Lory,SWAINSON LORIKEET,,C04,Garden,Semi Adult,
CKRD626,Lory,RED LORY,,C06,Garden,Semi Adult,
CKRD1627,Lorikeet,BLACK CAPPED LORY,,C07,Garden,Semi Adult,
CKRD1591,Lorikeet,BLACK CAPPED LORY,,C07,Garden,Semi Adult,
CKRD693,Lorikeet,BLACK CAPPED LORY,,C08,Garden,Semi Adult,
CKRD1619,Lory,YELLOW BIBBED LORY,,C09,Garden,Semi Adult,
CKRD1605,Lory,RED LORY,,C10,Garden,Semi Adult,
CKRD1607,Lory,RED LORY,,C10,Garden,Semi Adult,
CKRD1548,Lorikeet,RED LORY,,C11,Garden,Semi Adult,
CKRE1591,Lorikeet,RED LORY,,C12,Garden,Semi Adult,
CKRE1978,Lorikeet,RED LORY,,C12,Garden,Semi Adult,
CKRD625,Lory,RED LORY,,C13,Garden,Semi Adult,
CKRE1636,Lory,RED LORY,,C13,Garden,Semi Adult,
CKRD1527,Lory,RED LORY,,C14,Garden,Semi Adult,
CKRE1563,Lory,RED LORY,,C15,Garden,Semi Adult,
BL055,Lorikeet,OLIVE RED COLLER LORIKEET,,C16,Garden,Semi Adult,
CKRF428,Lory,OLIVE SWAINSON LORIKEET,,C16,Garden,Semi Adult,
CKRE1917,Lorikeet,RED COLLER LORIKEET,,C17,Garden,Semi Adult,
CKRE1272,Lorikeet,RED COLLER LORIKEET,,C17,Garden,Semi Adult,
CKRD667,Lory,SWAINSON LORIKEET,,C18,Garden,Semi Adult,
CKRE1216,Lory,SWAINSON LORIKEET,,C19,Garden,Semi Adult,
CKRD1408,Lory,SWAINSON LORIKEET,,C19,Garden,Semi Adult,
CKRC400,Lorikeet,CHATTERING LORY,,C20,Garden,Semi Adult,
CKRE1406,Lorikeet,SWAINSON LORIKEET,,C21,Garden,Semi Adult,
CKRE1255,Lory,SWAINSON LORIKEET,,C21,Garden,Semi Adult,
CKRE1926,Lorikeet,OLIVE SWAINSON LORIKEET,,C22,Garden,Semi Adult,
SSG-176,Cockatoo,Mollucan Cockatoo,MALE,G2,Guest house,Semi Adult,
P3 SG27,Parrot,GRAY PARROT,,G3,Guest house,Semi Adult,
CKRD1764,Cockatoo,MAJOR MITCHAL GALAH COCKATOO,,,Sales ,Semi Adult,
CKRD1692,Cockatoo,MAJOR MITCHAL GALAH COCKATOO,,,Sales ,Semi Adult,
CKRB138&CKRB140,Conure,Nansun conure,REPROCESS,,Sales ,Semi Adult,
CKRF 1043,Conure,Nansun Conure,Male,,Sales ,Semi Adult,
CKRF537,LORY,Red Lory ,Female,,Sales ,Semi Adult,
CKRD1819,Parrot,Gray parrots,,,Sales ,Semi Adult,
CKRD 1927,Monk,Blue Monk,,,Sales ,Semi Adult,
CKRD 1929,Monk,Blue Monk,,,Sales ,Semi Adult,
CKRE 1081,Conure,Sun Conure,,,Sales ,Semi Adult,
CKRD 619,Conure,Nanday Conure,Male,,Sales ,Semi Adult,
CKRD 618,Conure,Nanday Conure,,,Sales ,Semi Adult,
CKR E 1615,Conure,Sun Conure,NA,,Sales ,Semi Adult,
CKRF 1028,Conure,Nansun Conure,Male,,Sales ,Semi Adult,
CKRF 1033,Conure,Nansun Conure,Male,,Sales ,Semi Adult,
CKRF 1026,Conure,Nansun Conure,Male,,Sales ,Semi Adult,
CKRF 1050,Conure,Nansun Conure,Male,,Sales ,Semi Adult,
GB 3187,Conure,Sun Conure,Male,,Sales ,Semi Adult,
CKR D 221,Conure,Sun Conure,Male,,Sales ,Semi Adult,
CKR D 407,Conure,Sun Conure,Male,,Sales ,Semi Adult,
CKR D 186,Conure,Sun Conure,Male,,Sales ,Semi Adult,
GB 3218,Conure,Sun Conure,Male,,Sales ,Semi Adult,
CKR C 329,Conure,Sun Conure,Male,,Sales ,Semi Adult,
GB 2962,Conure,Sun Conure,Male,,Sales ,Semi Adult,
GB 3067,Conure,Sun Conure,Male,,Sales ,Semi Adult,
GB 2869,Conure,Sun Conure,Male,,Sales ,Semi Adult,
FC 94,Conure,Nansun Conure,NA,,Sales ,Semi Adult,
GB 3199,Conure,Sun Conure,Male,,Sales ,Semi Adult,
CKR 059,Conure,Sun Conure,Male,,Sales ,Semi Adult,
CKRE 1804,Conure,Sun Conure,Female,,Sales ,Semi Adult,
SMC 060,Conure,Janday Conure,NA,,Sales ,Semi Adult,
GB 3184,Conure,Sun Conure,Female,,Sales ,Semi Adult,
458,Pionus,White Headed pionus,,,Sales ,Semi Adult,
CKRD 613,Parrot,Caique,Male,,Sales ,Semi Adult,
CKRE 1034,Parrot,Caique,Female,,Sales ,Semi Adult,
CKRD 621,Parrot,Caique,Female,,Sales ,Semi Adult,
CKRD 719 no ring,Pionus,White Headed pionus,Female,,Sales ,Semi Adult,
CKRF 1023,Conure,Redmask Conure,Male,,Sales ,Semi Adult,
CKRF 1042,Conure,Redmask Conure,Male,,Sales ,Semi Adult,
CKRD 1906,Conure,Crimson Bellied conure,Female,,Sales ,Semi Adult,
CKRE019,Conure,Crimson bellied Conure,nA,,Sales ,Semi Adult,
CKR 112,Lorikeet,Green Napped Lorikeet,Male,,Sales ,Semi Adult,
CKRF 773,Conure,Sun Conure,Female,,Sales ,Semi Adult,
CKRE 1155,Lory,Swainson Lory,,,Sales ,Semi Adult,
CKRE2075,Lory, Swainson  Lory,na,,Sales ,Semi Adult,
CKRE2137,Lory,Red collared lorry,na,,Sales ,Semi Adult,
CKRE2138,Lory,Red collared lorry,na,,Sales ,Semi Adult,
CKRE2135,Lory,Red collared lorry,na,,Sales ,Semi Adult,
CKRE2131,Lory,Red collared lorry,na,,Sales ,Semi Adult,
CKRE2112,Lory,Red collared lorry,na,,Sales ,Semi Adult,
CKRE2108,Lory,Red collared lorry,nA,,Sales ,Semi Adult,
CKRE2077,Lory,Red collared lorry,nA,,Sales ,Semi Adult,
CKRD 639,Conure,Nanday Conure,Female,,Sales ,Semi Adult,
CKRF 1029,Conure,Nansun Conure,,,Sales ,Semi Adult,
No ring,Lorikeet,Red collared lorry,,,Sales ,Semi Adult,
No ring,Lorikeet,Red collared lorry,,,Sales ,Semi Adult,
CKR E 020,Conure,Crimson Bellied conure,,,Sales ,Semi Adult,
CKR E 2146,Conure,Sun Conure,,,Sales ,Semi Adult,
CKR E 2132,Conure,Sun Conure,,,Sales ,Semi Adult,
CKR E 2148,Conure,Sun Conure,,,Sales ,Semi Adult,
CKR A 069,Cockatoo,Triton Cockatoo,Male,S2,Solai,Proven,
89PINZ14,Cockatoo,Major Mitchell's Cockatoo,Male,S3,Solai,Semi Adult,
GF CL 618,Cockatoo,Mollucan Cockatoo,Female,S4,Solai,Semi Adult,
PAB W 031,Cockatoo,Mollucan Cockatoo,Female,S4,Solai,Proven,
SSG-194,Cockatoo,Mollucan Cockatoo,MALE,S4,Solai,Semi Adult,
P2 1310,Parrot,GRAY PARROT,,S5,Solai,Semi Adult,
SV 002,Parrot,Gray parrots,Female,S5,Solai,Semi Adult,
CKR 0005,Parrot,Gray parrots,Female,S5,Solai,Semi Adult,
93PINZ14,Cockatoo,Major Mitchell's Cockatoo,Male,S6,Solai,Proven,
,Macaw,Blue and Gold Macaw,,S7,Solai,Semi Adult,
CKR A 037,Cockatoo,Medium Sulphur Cockatoo,Male,S8,Solai,Semi Adult,
CKR 0056,Macaw,Blue and Gold Macaw,Male,S09,Solai,Non proven,
